"task","metric","parameter","correlation","p_value","r_squared","n_obs","sig"
"BOB","Occurrence","x2_right_hand_speed_maxima",-0.111864414714405,0.638684377732253,0.0125136472793964,20,""
"VGR","Occurrence","LH_initial_direction_angle_rad",0.109898451685514,0.644629229763198,0.0120776696828733,20,""
"VGR","transition_probability","RH_reaction_time_s",0.105124370467062,0.659151643688131,0.0110511332660961,20,""
"BOB","transition_probability","x2_hand_speed_diff_m_s",-0.105448317506431,0.667460839330808,0.011119347664937,19,""
"BOB","Occurrence","x1_mean_movement_time_s",-0.10086570223191,0.672206258732913,0.0101738898867364,20,""
"OH","Dwell_Time","total_hits",0.100827718535504,0.672323108931633,0.0101662288250747,20,""
"OH","Dwell_Time","hand_speed_bias",-0.0992481203007519,0.676586850985203,0.00985018938323252,20,""
"OH","transition_probability","movement_area_right_hand_m_2",0.0956326385731474,0.688372018375942,0.00914560156046224,20,""
"OH","transition_probability","hand_speed_right_m_s",0.0933735998666951,0.695391444453421,0.00871862915206569,20,""
"BOB","transition_probability","x1_hand_speed_diff_m_s",0.0949034857557875,0.699152339694668,0.00900667160859896,19,""
"APM","Dwell_Time","RH_abs_error_x_m",-0.0917293233082707,0.700101121478797,0.00841426875459325,20,""
