"task","metric","condition","parameter","correlation","p_value","r_squared","n_obs","sig"
"VGR","CAP4 Occurrence Rate","Bilateral","LH_movement_time_s",0.02467458300211,0.922580262678668,0.000608835046328016,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_targets_completed",0.0240377425888569,0.924572977467529,0.000577813068768146,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","LH_path_length_ratio",-0.0223817649736723,0.929756610756078,0.000500943403336703,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_hand_path_bias",-0.0205271403151112,0.935565246178556,0.000421363489516264,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_stdev_bar_angle_rad",0.0200687967746613,0.937001254229587,0.000402756603982656,20,""
"APM","CAP4 Occurrence Rate","Bilateral","RH_shift_x_m",0.0188410621306415,0.94084869431863,0.000354985622210693,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_right_hand_speed_maxima",0.0174503701713467,0.945208306904027,0.000304515419117026,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_reaction_time_s",0.0126818714535615,0.960167369766351,0.000160829863564658,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","LH_posture_speed_m_s",-0.0113190544774685,0.96444514369991,0.0001281209942639,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","hand_bias_of_hits",-0.0107515536360292,0.966226762522474,0.000115595905588412,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","LH_false_starts",-0.0107768057576214,0.967255862039376,0.000116139542337501,19,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_shift_x_m",0.00897914747623727,0.971792018769892,8.06250894000182e-05,20,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_shift_y_m",0.00513939830373305,0.983852543989603,2.64134149244142e-05,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","LH_reaction_time_s",-0.00365138093098122,0.988527389969191,1.33325827031333e-05,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_stdev_bar_angle_rad",0.0013071841070928,0.99589272646906,1.70873028983601e-06,20,""
